"x" "y" "Q" "X10x10" "X20x20" "ha4plot" "Forest" "unqeID"
"322" 604296.36887675 648185.836124539 2 1 "U" 1 "A1" "1U1A1"
"323" 604296.390076 648196.039149046 2 1 "U" 1 "A1" "1U1A1"
"324" 604286.19008 648195.733420014 2 1 "U" 1 "A1" "1U1A1"
"325" 604296.36887675 648185.836124539 4 2 "U" 1 "A1" "2U1A1"
"326" 604296.390076 648196.039149046 4 2 "U" 1 "A1" "2U1A1"
"327" 604306.590072 648196.344878018 4 2 "U" 1 "A1" "2U1A1"
"328" 604306.5699885 648186.152539074 4 2 "U" 1 "A1" "2U1A1"
"329" 604296.3476775 648175.633100033 3 3 "U" 1 "A1" "3U1A1"
"330" 604296.36887675 648185.836124539 3 3 "U" 1 "A1" "3U1A1"
"331" 604306.5699885 648186.152539074 3 3 "U" 1 "A1" "3U1A1"
"332" 604306.549905 648175.960200012 3 3 "U" 1 "A1" "3U1A1"
"333" 604286.14545 648175.305999994 1 4 "U" 1 "A1" "4U1A1"
"334" 604296.3476775 648175.633100033 1 4 "U" 1 "A1" "4U1A1"
"335" 604296.36887675 648185.836124539 1 4 "U" 1 "A1" "4U1A1"
"336" 604286.167765 648185.519709945 1 4 "U" 1 "A1" "4U1A1"
"337" 604316.7521325 648176.28730002 2 1 "V" 1 "A1" "1V1A1"
"338" 604316.77110025 648186.46895355 2 1 "V" 1 "A1" "1V1A1"
"339" 604326.972212 648186.785368025 2 1 "V" 1 "A1" "1V1A1"
"340" 604326.95436 648176.614400029 2 1 "V" 1 "A1" "1V1A1"
"341" 604316.77110025 648186.46895355 4 2 "V" 1 "A1" "2V1A1"
"342" 604316.790068 648196.65060702 4 2 "V" 1 "A1" "2V1A1"
"343" 604326.990064 648196.956336021 4 2 "V" 1 "A1" "2V1A1"
"344" 604326.972212 648186.785368025 4 2 "V" 1 "A1" "2V1A1"
"345" 604306.5699885 648186.152539074 3 3 "V" 1 "A1" "3V1A1"
